"DOTAHeroes"
{
    "npc_dota_hero_kobold_survivor"
    {
        "override_hero"                 "npc_dota_hero_meepo"
        "AbilityLayout"                 "6"
        "SoundSet"                      "Hero_Meepo"
        "Model"                         "models/heroes/meepo/meepo.vmdl"
        "ModelScale"                    "0.85"
        "HeroGlowColor"                 "120 190 255"
        "PickSound"                     "meepo_meepo_spawn_01"
        "BanSound"                      "meepo_meepo_death_01"

        "Ability1"                      "ability_kobold_gather_contextual"
        "Ability2"                      "ability_kobold_build_campfire"
        "Ability3"                      "ability_kobold_build_tent"
        "Ability4"                      "ability_kobold_cook_recipe"
        "Ability5"                      "ability_kobold_run"
        "Ability6"                      "ability_kobold_basic_attack"
        "Ability7"                      "ability_kobold_open_inventory"
        "Ability8"                      "ability_kobold_open_build_menu"
        "Ability9"                      "ability_kobold_inspect_survival"
        "Ability10"                     "ability_spell_shield"
        "Ability11"                     "ability_spell_siphon_life"
        "Ability12"                     "ability_kobold_plant_tree"
        "Ability13"                     "passive_survival_hunger_drain"
        "Ability14"                     "passive_survival_warmth_drain"
        "Ability15"                     "passive_survival_running_drain"
        "Ability16"                     "passive_survival_stamina_collapse"

        "AttackCapabilities"            "DOTA_UNIT_CAP_MELEE_ATTACK"
        "AttackDamageMin"               "16"
        "AttackDamageMax"               "22"
        "AttackRate"                    "1.6"
        "AttackAnimationPoint"           "0.35"
        "AttackAcquisitionRange"         "600"
        "AttackRange"                   "150"
        "ProjectileModel"               ""
        "ProjectileSpeed"               "0"

        "ArmorPhysical"                 "1"
        "MagicalResistance"             "25"
        "StatusHealth"                  "450"
        "StatusHealthRegen"             "0.5"
        "StatusMana"                    "120"
        "StatusManaRegen"               "0.4"

        "AttributePrimary"              "DOTA_ATTRIBUTE_AGILITY"
        "AttributeBaseStrength"         "16"
        "AttributeStrengthGain"         "1.8"
        "AttributeBaseAgility"          "18"
        "AttributeAgilityGain"          "2.2"
        "AttributeBaseIntelligence"     "14"
        "AttributeIntelligenceGain"     "1.5"

        "MovementCapabilities"          "DOTA_UNIT_CAP_MOVE_GROUND"
        "MovementSpeed"                 "300"
        "MovementTurnRate"              "0.7"
        "BoundsHullName"                "DOTA_HULL_SIZE_HERO"
        "RingRadius"                    "60"

        "VisionDaytimeRange"            "900"
        "VisionNighttimeRange"          "550"
        "BountyXP"                      "0"
        "BountyGoldMin"                 "0"
        "BountyGoldMax"                 "0"
        "Level"                         "1"
        "AbilityPoints"                 "0"
    }
}
