marker_kind,suggested_hammer_use,tile_id,grid_x,grid_y,hammer_x,hammer_y,hammer_z_hint,source_world_x,source_world_y,zone,terrain,elevation_level,walkable,buildable,primary_entity_type,primary_entity_id,spawn_group,boss_arena,point_of_interest,road,hazard,suggested_action
wildlife_spawner,spawn controller marker,AF4,31,3,-4160,7744,0,-8320,15488,frost_north,shallow_water,-1,1,0,animal_spawner,bear_den,hostile_elite,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,AZ4,51,3,-1600,7744,0,-3200,15488,frost_north,shallow_water,-1,1,0,animal_spawner,deer_herd,passive_large,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,BT4,71,3,960,7744,0,1920,15488,frost_north,shallow_water,-1,1,0,animal_spawner,bear_den,hostile_elite,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,DI4,112,3,6208,7744,0,12416,15488,frost_north,shallow_water,-1,1,0,animal_spawner,rabbit_warren,passive_small,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,AC5,28,4,-4544,7616,0,-9088,15232,frost_north,shallow_water,-1,1,0,animal_spawner,rabbit_warren,passive_small,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,AG5,32,4,-4032,7616,0,-8064,15232,frost_north,shallow_water,-1,1,0,animal_spawner,deer_herd,passive_large,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,AY5,50,4,-1728,7616,0,-3456,15232,frost_north,shallow_water,-1,1,0,animal_spawner,deer_herd,passive_large,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,AZ5,51,4,-1600,7616,0,-3200,15232,frost_north,shallow_water,-1,1,0,animal_spawner,rabbit_warren,passive_small,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,BK5,62,4,-192,7616,0,-384,15232,frost_north,shallow_water,-1,1,0,animal_spawner,deer_herd,passive_large,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,CJ5,87,4,3008,7616,0,6016,15232,frost_north,shallow_water,-1,1,0,animal_spawner,rabbit_warren,passive_small,,,,,"Use as a spawn-zone source, not a thinker per marker."
wildlife_spawner,spawn controller marker,DC5,106,4,5440,7616,0,10880,15232,frost_north,shallow_water,-1,1,0,animal_spawner,rabbit_warren,passive_small,,,,,"Use as a spawn-zone source, not a thinker per marker."
reference,editor reference marker,F6,5,5,-7488,7488,128,-14976,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,G6,6,5,-7360,7488,128,-14720,14976,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,H6,7,5,-7232,7488,128,-14464,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,J6,9,5,-6976,7488,128,-13952,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,K6,10,5,-6848,7488,128,-13696,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,L6,11,5,-6720,7488,128,-13440,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,O6,14,5,-6336,7488,128,-12672,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,Q6,16,5,-6080,7488,128,-12160,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,S6,18,5,-5824,7488,128,-11648,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,T6,19,5,-5696,7488,128,-11392,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,V6,21,5,-5440,7488,128,-10880,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
